title,budget,revenue,profit,log_budget,log_revenue,release_year,main_genre,runtime,vote_average,language_group,popularity
The X Files,66000000,189198313,123198313,18.005165315142214,19.05830630333727,1998,Mystery,121.0,6.6,en,18.59991
The Last Legion,67000000,25303038,-41696962,18.020203192280615,17.046435065061164,2007,Action,102.0,5.0,en,12.282911
Need for Speed,66000000,203277636,137277636,18.005165315142214,19.13008327254813,2014,Action,130.0,6.1,en,54.81489
Dreamcatcher,68000000,75715436,7715436,18.035018277846262,18.1424926209999,2003,Drama,136.0,5.3,en,26.792794
The Santa Clause 2,65000000,172855065,107855065,17.989897843244528,18.967964032551535,2002,Fantasy,104.0,5.5,en,14.646884
Step Brothers,65000000,128107642,63107642,17.989897843244528,18.668381429411863,2008,Comedy,98.0,6.5,en,22.977983
Due Date,65000000,211780824,146780824,17.989897843244528,19.171062453510984,2010,Comedy,95.0,6.2,en,43.865294
Unbroken,65000000,163442937,98442937,17.989897843244528,18.911974484327736,2014,Drama,137.0,7.3,en,43.055253
Space Cowboys,65000000,128884132,63884132,17.989897843244528,18.674424364909743,2000,Action,130.0,6.3,en,15.772081
Broken Arrow,50000000,150270147,100270147,17.72753358339242,18.82794521889528,1996,Action,108.0,5.7,en,22.769108
The Kid,65000000,69700000,4700000,17.989897843244528,18.059710890077955,2000,Fantasy,104.0,6.0,en,18.281798
World Trade Center,63000000,162945894,99945894,17.958645300228824,18.908928771153906,2006,Drama,128.0,5.9,en,24.697533
Mona Lisa Smile,65000000,0,-65000000,17.989897843244528,0.0,2003,Drama,117.0,6.5,en,19.718544
The Dictator,65000000,179379533,114379533,17.989897843244528,19.00501442081376,2012,Comedy,83.0,5.9,en,31.349143
Eyes Wide Shut,65000000,162091208,97091208,17.989897843244528,18.903669753279715,1999,Mystery,159.0,7.1,en,27.870312
Annie,65000000,133821816,68821816,17.989897843244528,18.712019749167283,2014,Comedy,119.0,6.0,en,33.439187
Focus,50100000,153962963,103862963,17.729531586015174,18.85222263794821,2015,Romance,105.0,6.7,en,59.634029
This Means War,65000000,156974557,91974557,17.989897843244528,18.871594299225492,2012,Action,103.0,5.9,en,38.994297
Blade: Trinity,65000000,128905366,63905366,17.989897843244528,18.674589103970472,2004,Science Fiction,123.0,5.7,en,49.660055
Red Dawn,4200000,38376497,34176497,15.250595321348806,17.462955798940374,1984,Action,114.0,6.4,en,11.743085
Primary Colors,65000000,0,-65000000,17.989897843244528,0.0,1998,Comedy,143.0,6.1,en,9.110247
Death Race,45000000,73762516,28762516,17.622173069956816,18.116361260816948,2008,Action,105.0,6.0,en,42.57877
The Long Kiss Goodnight,65000000,89456761,24456761,17.989897843244528,18.30926596036646,1996,Crime,120.0,6.5,en,15.858629
Proof of Life,65000000,0,-65000000,17.989897843244528,0.0,2000,Action,135.0,6.0,en,14.866901
Zathura: A Space Adventure,65000000,64321501,-678499,17.989897843244528,17.97940453455238,2005,Family,101.0,6.1,en,15.194239
Fight Club,63000000,100853753,37853753,17.958645300228824,18.42918204527112,1999,Drama,139.0,8.3,en,146.757391
We Are Marshall,65000000,43545364,-21454636,17.989897843244528,17.589313826207274,2006,Drama,124.0,6.7,en,8.629665
Hudson Hawk,65000000,17218080,-47781920,17.989897843244528,16.66147061056811,1991,Action,100.0,5.4,en,16.803457
Lucky Numbers,65000000,0,-65000000,17.989897843244528,0.0,2000,Action,105.0,4.9,en,2.952595
"I, Frankenstein",65000000,71154592,6154592,17.989897843244528,18.080365434176294,2014,Horror,92.0,5.0,en,31.324734
Oliver Twist,50000000,42093706,-7906294,17.72753358339242,17.555408810045066,2005,Crime,130.0,6.7,en,20.415572
Elektra,43000000,56681566,13681566,17.57671069691365,17.852959618840732,2005,Action,97.0,4.8,en,28.613892
Sin City: A Dame to Kill For,65000000,39407616,-25592384,17.989897843244528,17.489469680456413,2014,Crime,102.0,6.3,en,85.428395
Random Hearts,64000000,74608570,10608570,17.974393656948944,18.127765951335714,1999,Drama,133.0,5.3,en,4.137237
Everest,55000000,203427584,148427584,17.822843761378564,19.13082065185227,2015,Adventure,121.0,6.7,en,60.246978
Perfume: The Story of a Murderer,50000000,132180323,82180323,17.72753358339242,18.69967763920648,2006,Crime,147.0,7.1,en,42.551902
Astro Boy,65000000,44091067,-20908933,17.989897843244528,17.6017677802206,2009,Animation,94.0,6.1,en,24.857079
Wyatt Earp,63000000,25052000,-37948000,17.958645300228824,17.036464262544413,1994,Drama,191.0,6.5,en,13.859307
